year;title;author;publisher;classification;library
2023.0;Top Gun : Maverick;Kosinski, Joseph;Boulogne-Billancourt : Paramount Pictures, 2022;AV TOPG;CABANIS
2023.0;Trois mille ans à t'attendre;Miller, George;Paris : Metropolitan filmexport, 2023;F TROI;CABANIS
2023.0;Compétition officielle;Cohn, Mariano;Paris : Wild side video, 2022;COMP;CABANIS
2023.0;Licorice pizza;Anderson, Paul Thomas;Paris : Universal Pictures Vidéo, 2022;LICO;CABANIS
2023.0;Le discours;Tirard, Laurent;Paris : Le Pacte, 2021;C DISC;CABANIS
2023.0;Là-haut;Docter, Pete;"Marne-la-Vallée : Pixar ; Buena Vista Home Entertainment, 2009";A LAHA;CABANIS
2023.0;EO;Skolimowski, Jerzy;Paris : ARP Sélection, 2023;EO;CABANIS
2023.0;La belle et le clochard;Luske, Hamilton;[S.l] : Buena Vista Home Intertainment, 2006;A BELL;CABANIS
2023.0;Ticket to Paradise;Parker, Ol;Paris : Universal Pictures Vidéo, 2023;C TICK;CABANIS
2023.0;Les volets verts;Becker, Jean;Paris : ARP Sélection, 2023;VOLE;CABANIS
2023.0;Madagascar 3 : bons baisers d'Europe;Darnell, Eric;[S.l.] : DreamWorks Animation SKG, 2012;Anim MADA;CABANIS
2023.0;Respect;Tommy, Liesl;Paris : Universal Pictures Vidéo, 2022;M RESP;CABANIS
2023.0;The White Lotus. Saison 1, intégrale;White, Mike;[S.l.] Etats-Unis : Home Box Office, 2022;TV WHIT;CABANIS
2023.0;L'âge de glace 2;Saldanha, Carlos;U.S.A. : Twentieth Century Fox Home Entertainment, 2006;A AGED;CABANIS
2023.0;Louise en hiver;Laguionie, Jean-François;Rueil-Malmaison : Condor Entertainment, 2017;Anim LOUI;CABANIS
2024.0;Anatomie d'une chute;Triet, Justine;Paris : Le Pacte, 2023;ANAT;CABANIS
2024.0;Babylon;Chazelle, Damien;Boulogne-Billancourt : Paramount Pictures, 2023;BABY;CABANIS
2024.0;Raya et le dernier dragon;Hall, Don;Marne-la-Vallée : The Walt Disney Company, 2021;Anim RAYA;CABANIS
2024.0;Harry Potter à l'école des sorciers;Columbus, Chris;Paris : Warner Home Video, 2002.;F HARR;CABANIS
