titre,auteur,langue,genre,description,annee,source
Le livre des livres,Francois Almaleh,français,Fiction,"Un parcours unique en 45 chapitres sur le livre et son univers : les livres maudits, les livres-objets, les bibliothèques, les livres numérotés, ontologiques, les livres dans la peinture, les collections, les livres disparus... 45 chapitres de découvertes",2020,http://books.google.com/books?id=dgLhDwAAQBAJ&dq=livre&hl=&source=gbs_api
Aidez-moi (Un Thriller à Suspense Katie Winter du FBI – Livre 5),Molly Black,français,Fiction,"Un nouveau tueur en série sévit à l'extérieur de Seattle. Mais quand il traverse la frontière pour frapper également à Vancouver, le FBI fait appel à l'agent spécial Katie Winter. Avec des victimes lestées et jetées dans la rivière, il semble que ce soit l’œuvre d'un bûcheron déséquilibré. Pourtant, après un incroyable rebondissement, Katie, face à ses propres démons, réalise que les apparences sont trompeuses. « Molly Black a écrit un thriller tendu qui vous tiendra en haleine… J'ai absolument adoré ce livre et j'ai hâte de lire le prochain de la série ! » — Un lecteur de La 1RE Femme : Homicide AIDEZ-MOI est le livre 5 d'une nouvelle série de Molly Black, auteure de romans à suspense et policiers à succès. L'agent spécial du FBI, Katie Winter, n’est pas étrangère aux hivers polaires, à l’isolement et aux affaires dangereuses. Grâce à ses excellents résultats dans la chasse aux tueurs en série, elle est une étoile montante de la BAU, l’unité d'analyse comportementale du FBI ; et Katie est tout naturellement choisie pour s'associer aux forces de l'ordre canadiennes et traquer les criminels dans des paysages sauvages et impitoyables. Katie entrera-t-elle à temps dans l'esprit du tueur pour sauver la prochaine victime ? Un thriller psychologique complexe plein de rebondissements et de suspense, la série KATIE WINTER vous fera tomber amoureux d'une brillante protagoniste et vous forcera à tourner les pages jusqu’au bout de la nuit. Les livres 6 à 11 de la série — OUBLIEZ-MOI, TENEZ-MOI, PROTÉGEZ-MOI, SOUVENEZ-VOUS DE MOI, ATTRAPEZ-MOI et REGARDEZ-MOI — sont également disponibles. « J'ai complètement dévoré ce livre. Je suis restée accrochée jusqu’à la dernière page… J'ai hâte de lire la suite ! » — Une lectrice de Trouvé « J'ai adoré ce livre ! Une intrigue au rythme effréné, des personnages formidables et des enquêtes intéressantes sur les affaires classées. J'ai hâte de lire le prochain ! » — Un lecteur de La 1RE Femme : Homicide « Très bon livre… On a l’impression d’être, nous-mêmes, à la recherche du kidnappeur ! Je lirai sans aucun doute les autres livres de cette série ! » — Un lecteur de La 1RE Femme : Homicide « C'est un livre très bien écrit et qui retient votre attention dès la première page... J'ai vraiment hâte de lire le prochain de la série, et beaucoup d’autres encore ! » — Une lectrice de La 1RE Femme : Homicide « Waouh ! J’ai hâte de lire le prochain livre de cette série. Ça démarre en force et ça continue. » — Une lectrice de La 1RE Femme : Homicide « Un livre très bien écrit avec une belle intrigue qui vous empêchera de dormir la nuit. Un livre captivant ! » — Une lectrice de La 1RE Femme : Homicide « Un grand suspense qui vous donne envie de lire... vivement la suite de cette série ! » — Un lecteur de Trouvé « Extra ! Il y a quelques rebondissements imprévus… C’est comme les séries Netflix, ça vous rend accro. » — Un lecteur de Trouvé",2023,http://books.google.com/books?id=TZ-gEAAAQBAJ&dq=livre&hl=&source=gbs_api
"LIVRE UTILE AU NÉGOCIANS DE L'EUROPE, Contenant une Préface instructive sur le Change, des Formules de Lettres & Billets de Change, avec des Observations à chaque Lettre; les Réductions au Pair des Argents de plusieurs Pays; le Tarif des Monnoies d'or & d'argent qui ont cours dans les Pays-Bas Autrichiens, avec le empreintes de ces Espéces, & autres choses très-utiles aux Marchands",Jean-Baptiste-Adrien-Joseph Serré,français,Non spécifié,Description non disponible,1781,https://play.google.com/store/books/details?id=g1cvuHWHa7MC&source=gbs_api
Nouveau dictionnaire françois contenant généralement tous les mots anciens et modernes de a langue françoise,Richelet,français,Non spécifié,Description non disponible,1710,https://play.google.com/store/books/details?id=kreBBZcuwIAC&source=gbs_api
"Catalogue raisonné de la collection de livres de m. Pierre Antoine Crevenna, négociant à Amsterdam. Premier [-sixième] volume",Pietro Antonio Bolongaro Crevenna,français,Non spécifié,Description non disponible,1775,https://play.google.com/store/books/details?id=WX1EGmRgE40C&source=gbs_api
Manuel du libraire et de l'amateur de livres contenant un nouveau dictionnaire bibliographique ... une table en forme de catalogue raisoné ...,Jacques-Charles Brunet,français,Non spécifié,Description non disponible,1844,https://play.google.com/store/books/details?id=zjYCbTegTs0C&source=gbs_api
Thesaurus iconographique : Système descriptif des représentations,François Garnier,français,Art,"Un thesaurus destiné à établir des règles de description pour la constitution d'une banque de données, en particulier pour les besoins des différents services du Ministère de la culture. « Copyright Electre »",1983,http://books.google.com/books?id=9N7_EAAAQBAJ&dq=livre&hl=&source=gbs_api
"Instruction pour tenir les Livres en parties doubles ou à l'italienne, avec trois Memoriaux ...",Abraham de Graaf,français,Non spécifié,Description non disponible,1718,https://play.google.com/store/books/details?id=ea2pvtsHiwgC&source=gbs_api
Sainte Bible de Vence: Job. 1829,Inconnu,français,Non spécifié,Description non disponible,1829,https://play.google.com/store/books/details?id=BVG6EM5G80kC&source=gbs_api
French Vernacular Books / Livres vernaculaires français (FB) (2 vols.),"Andrew Pettegree, Malcolm Walsby, Alexander Wilkinson",français,Reference,"This work offers for the first time a complete list of all books published wholly or partially in the French language before 1601. Based on twelve years of investigations in libraries in France, the United Kingdom, the United States, Germany, the Netherlands and elsewhere, it provides an analytical short-title catalogue of over 52,000 bibliographically distinct items, with reference to surviving copies in over 1,600 libraries worldwide. Many of the items described are editions and even complete texts fully unknown and re-discovered by the project. French Vernacular Books is an invaluable research tool for all students and scholars interested in the history, culture and literature of France, as well as historians of the early modern book world. For vols. III & IV please go to French Books III & IV.",2007,http://books.google.com/books?id=mfivCQAAQBAJ&dq=livre&hl=&source=gbs_api
