titre,artiste,album,langue,genre,annee,source
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,français,R&B/Soul,2007,https://music.apple.com/fr/album/dont-stop-the-music/1441154435?i=1441154439&uo=4
Ride It,Regard,Ride It - Single,français,Dance,2019,https://music.apple.com/fr/album/ride-it/1472026375?i=1472026722&uo=4
J'oublie tout,Jul,Dans ma paranoïa,français,Hip-hop/Rap,2014,https://music.apple.com/fr/album/joublie-tout/799176203?i=799176215&uo=4
Shape of You,Ed Sheeran,÷ (Deluxe),français,Pop,2017,https://music.apple.com/fr/album/shape-of-you/1193701079?i=1193701392&uo=4
Dance Monkey,Tones And I,The Kids Are Coming - EP,français,Alternative,2019,https://music.apple.com/fr/album/dance-monkey/1475930038?i=1475930045&uo=4
40%,Aya Nakamura,NAKAMURA (Deluxe Edition),français,R&B/Soul,2019,https://music.apple.com/fr/album/40/1484019023?i=1484019332&uo=4
Calm Down,Rema,Rave & Roses,français,Afrobeats,2022,https://music.apple.com/fr/album/calm-down/1614063395?i=1614063459&uo=4
La vie qu'on mène,Ninho,Destin,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/la-vie-quon-m%C3%A8ne/1453399177?i=1453399179&uo=4
Rush,Ayra Starr,19 & Dangerous (Deluxe),français,Afrobeats,2022,https://music.apple.com/fr/album/rush/1642898371?i=1642898573&uo=4
New Rules,Dua Lipa,Dua Lipa (Deluxe),français,Pop,2017,https://music.apple.com/fr/album/new-rules/1228739599?i=1228739609&uo=4
Last Last,Burna Boy,"Love, Damini",français,Afro-fusion,2022,https://music.apple.com/fr/album/last-last/1623677591?i=1623677811&uo=4
Blinding Lights,The Weeknd,Blinding Lights - Single,français,R&B/Soul,2019,https://music.apple.com/fr/album/blinding-lights/1488408555?i=1488408568&uo=4
One Kiss,"Calvin Harris, Dua Lipa",One Kiss - Single,français,Dance,2018,https://music.apple.com/fr/album/one-kiss/1364709432?i=1364709436&uo=4
SPIDER,GIMS & DYSTINCT,SPIDER - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/spider/1744575447?i=1744575457&uo=4
lovely,Billie Eilish & Khalid,lovely - Single,français,Pop,2018,https://music.apple.com/fr/album/lovely/1369379667?i=1369380479&uo=4
Pookie,Aya Nakamura,NAKAMURA,français,R&B/Soul,2018,https://music.apple.com/fr/album/pookie/1439806285?i=1439806293&uo=4
Shallow,Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack,français,Bande originale,2018,https://music.apple.com/fr/album/shallow/1434371867?i=1434371887&uo=4
Grand bain (feat. Ninho),Dadju,Grand bain (feat. Ninho) - Single,français,R&B/Soul,2019,https://music.apple.com/fr/album/grand-bain-feat-ninho/1518829631?i=1518829641&uo=4
Con Calma (feat. Snow),Daddy Yankee,Con Calma (feat. Snow) - Single,français,Urban latin,2018,https://music.apple.com/fr/album/con-calma-feat-snow/1449106551?i=1449106558&uo=4
everything i wanted,Billie Eilish,everything i wanted - Single,français,Alternative,2019,https://music.apple.com/fr/album/everything-i-wanted/1487502456?i=1487502476&uo=4
SOIS PAS TIMIDE,GIMS,SOIS PAS TIMIDE - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/sois-pas-timide/1757643293?i=1757643303&uo=4
92i veyron,Booba,Nero nemesis,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/92i-veyron/1440833914?i=1440834237&uo=4
Jaloux,Dadju,Gentleman 2.0 (Réédition),français,R&B/Soul,2018,https://music.apple.com/fr/album/jaloux/1453375792?i=1453376184&uo=4
Reine,Dadju,Gentleman 2.0,français,R&B/Soul,2017,https://music.apple.com/fr/album/reine/1440904018?i=1440904214&uo=4
MIA (feat. Drake),Bad Bunny,MIA (feat. Drake) - Single,français,Musique latine,2018,https://music.apple.com/fr/album/mia-feat-drake/1662168785?i=1662168786&uo=4
Stressed Out,twenty one pilots,Blurryface,français,Alternative,2015,https://music.apple.com/fr/album/stressed-out/974485462?i=974485474&uo=4
Casanova,Soolking & Gazo,Casanova - Single,français,R&B/Soul,2023,https://music.apple.com/fr/album/casanova/1695579038?i=1695579109&uo=4
Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,français,Pop,2019,https://music.apple.com/fr/album/se%C3%B1orita/1468910011?i=1468910018&uo=4
Arrivant,Timal,Trop chaud,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/arrivant/1368469361?i=1368469365&uo=4
Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) [Remix] - Single,français,Country,2019,https://music.apple.com/fr/album/old-town-road-feat-billy-ray-cyrus-remix/1458638377?i=1458638381&uo=4
Balance ton quoi,Angèle,Brol,français,Variété française,2018,https://music.apple.com/fr/album/balance-ton-quoi/1434408195?i=1434408433&uo=4
As It Was,Harry Styles,Harry's House,français,Pop,2022,https://music.apple.com/fr/album/as-it-was/1615584999?i=1615585008&uo=4
Binta,Alonzo,Avenue de St Antoine,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/binta/1443230524?i=1443231153&uo=4
Perfect,Ed Sheeran,÷ (Deluxe),français,Pop,2017,https://music.apple.com/fr/album/perfect/1193701079?i=1193701400&uo=4
Get Lucky,"Daft Punk, Pharrell Williams & Nile Rodgers",Random Access Memories,français,Pop,2013,https://music.apple.com/fr/album/get-lucky/617154241?i=617154366&uo=4
Tout oublier (feat. Roméo Elvis),Angèle,Brol,français,Variété française,2018,https://music.apple.com/fr/album/tout-oublier-feat-rom%C3%A9o-elvis/1434408195?i=1434408435&uo=4
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",français,Alternative,2019,https://music.apple.com/fr/album/bad-guy/1450695723?i=1450695739&uo=4
Si No Estás,iñigo quintero,Si No Estás - Single,français,Pop,2022,https://music.apple.com/fr/album/si-no-est%C3%A1s/1678217704?i=1678217896&uo=4
Fever,Dua Lipa & Angèle,Fever - Single,français,Dance,2020,https://music.apple.com/fr/album/fever/1534327305?i=1534327306&uo=4
PARISIENNE,GIMS & La Mano 1.9,PARISIENNE - Single,français,Hip-hop/Rap,2025,https://music.apple.com/fr/album/parisienne/1830026305?i=1830026308&uo=4
Balader,Soolking & Niska,Sans visa,français,Hip-hop/Rap,2022,https://music.apple.com/fr/album/balader/1620177442?i=1620177444&uo=4
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,français,Alternative,2024,https://music.apple.com/fr/album/birds-of-a-feather/1739659134?i=1739659142&uo=4
CIEL,GIMS,CIEL - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/ciel/1773791055?i=1773791057&uo=4
Suis-moi,Alonzo,100 %,français,Hip-hop/Rap,2017,https://music.apple.com/fr/album/suis-moi/1440888329?i=1440888464&uo=4
Ma belle,Moha La Squale,Ma belle - Single,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/ma-belle/1475104937?i=1475104938&uo=4
Le monde ou rien,PNL,Le monde Chico,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/le-monde-ou-rien/1048964879?i=1048964883&uo=4
KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW - Single,français,Afrobeats,2022,https://music.apple.com/fr/album/ku-lo-sa-a-colors-show/1628124903?i=1628125458&uo=4
Copines,Aya Nakamura,NAKAMURA,français,R&B/Soul,2018,https://music.apple.com/fr/album/copines/1439806285?i=1439806292&uo=4
Loin de moi,Naza,Loin de moi - Single,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/loin-de-moi/1480515013?i=1480515015&uo=4
Sapés comme jamais (feat. Niska) [Pilule Bleue],GIMS,Mon cœur avait raison,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/sap%C3%A9s-comme-jamais-feat-niska-pilule-bleue/1041473120?i=1041473132&uo=4
Onizuka,PNL,Dans la légende,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/onizuka/1663880916?i=1663883887&uo=4
Imagine,Carbonne,Imagine - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/imagine/1743455180?i=1743455190&uo=4
Bob Marley,Dadju,Gentleman 2.0,français,R&B/Soul,2017,https://music.apple.com/fr/album/bob-marley/1440904018?i=1440904217&uo=4
Complètement sonné,KeBlack,Appartement 105,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/compl%C3%A8tement-sonn%C3%A9/1370049440?i=1370049632&uo=4
Si j'savais,Tiakola,Mélo,français,Hip-hop/Rap,2022,https://music.apple.com/fr/album/si-jsavais/1621517604?i=1621517614&uo=4
Mafiosa (feat. Caroliina),Lartiste,Grandestino,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/mafiosa-feat-caroliina/1335713490?i=1335713934&uo=4
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),français,Hip-hop/Rap,2011,https://music.apple.com/fr/album/cant-hold-us-feat-ray-dalton/560097651?i=560097694&uo=4
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido - Single,français,Musique latine,2024,https://music.apple.com/fr/album/si-antes-te-hubiera-conocido/1752031533?i=1752031539&uo=4
